,0
bsmt_cond_no_basement,0.0
exterior_2nd_Wd Sdng,-0.0
exterior_2nd_VinylSd,0.0
exterior_2nd_Stucco,-0.0
exterior_2nd_Stone,-0.0
exterior_2nd_Plywood,-0.0
exter_cond_Fa,-0.0
exter_cond_Gd,0.0
exter_cond_Po,-0.0
exter_cond_TA,-0.0
foundation_BrkTil,-0.0
foundation_CBlock,-0.0
foundation_Slab,0.0
foundation_Stone,0.0
foundation_Wood,0.0
bsmt_qual_Fa,-0.0
bsmt_qual_Gd,0.0
bsmt_qual_Po,0.0
bsmt_qual_TA,-0.0
bsmt_qual_no_basement,0.0
bsmt_exposure_Mn,-0.0
bsmt_cond_Gd,-0.0
bsmt_cond_Po,0.0
exterior_2nd_MetalSd,0.0
bsmt_cond_TA,0.0
exterior_1st_Stone,0.0
exterior_2nd_Brk Cmn,0.0
exterior_1st_WdShing,-0.0
exterior_2nd_HdBoard,-0.0
exterior_2nd_AsbShng,-0.0
exterior_1st_Plywood,-0.0
exterior_1st_MetalSd,0.0
exterior_2nd_AsphShn,0.0
exterior_1st_ImStucc,-0.0
exterior_1st_CemntBd,0.0
exterior_1st_CBlock,-0.0
exterior_1st_AsphShn,0.0
exterior_1st_Wd Sdng,-0.0
exterior_1st_AsbShng,-0.0
exterior_2nd_BrkFace,0.0
roof_matl_WdShake,0.0
roof_matl_Tar&Grv,-0.0
exterior_2nd_CBlock,-0.0
roof_matl_Membran,0.0
roof_matl_CompShg,-0.0
exterior_2nd_CmentBd,0.0
bsmtfin_type_1_BLQ,0.0
exterior_1st_Stucco,-0.0
neighborhood_OldTown,-27.56567472479313
garage_yr_blt_1988.0,-30.21493358260784
bldg_type_TwnhsE,-44.49665366570996
lot_config_FR2,-69.58499545886764
garage_qual_Po,-76.47362928015396
garage_yr_blt_1896.0,-99.29942301060788
garage_yr_blt_1928.0,-100.11304586886637
garage_yr_blt_1917.0,-114.43736892721893
garage_yr_blt_1992.0,-155.23206014036623
exterior_1st_HdBoard,-210.50725031590054
garage_type_Basment,-212.85861477031705
exterior_1st_BrkComm,-218.9960679242472
bsmtfin_type_1_Unf,-264.1944191359812
condition_1_RRNn,-283.98293077681006
heating_Grav,-297.2704299789537
street_Grvl,-374.3021873737307
garage_yr_blt_1976.0,-393.04569570722697
heating_OthW,-442.15223237551857
mas_vnr_type_BrkCmn,-451.08290401678715
bsmt_exposure_No,-504.36881371211564
kitchen_abvgr,-511.6307123791689
condition_1_RRAe,-543.317247082478
condition_1_Artery,-548.4563131915063
garage_type_2Types,-590.2894200294653
land_contour_Bnk,-598.5037206045581
sale_type_COD,-604.5668993557465
functional_Sal,-623.8808682609862
bsmt_cond_Fa,-627.9565915013999
functional_Maj1,-741.473811953595
functional_Sev,-891.2800119479053
roof_style_Mansard,-1102.7939730669425
neighborhood_Edwards,-1390.0060489133664
kitchen_qual_TA,-1477.015929240569
ms_subclass,-1617.7774881907446
exter_qual_TA,-2025.3040330326476
misc_val,-7290.8518939549385
roof_matl_ClyTile,-13447.90126591241
